Block,Entry,100_seed_wt,num_seeds,Yield
1,WT,14,134.53,4.65
2,WT,13.8,131.15,4.47
3,WT,13,139.6,4.48
4,WT,13.6,131.35,4.41
5,WT,13.2,123.08,4.01
6,WT,13.9,137.54,4.72
7,WT,12.9,159.32,5.08
8,WT,14.2,149.98,5.26
9,WT,13.4,140.69,4.66
10,WT,14.3,166.6,5.89
11,WT,13.3,154.58,5.08
12,WT,13.4,146.78,4.86
13,WT,12.5,164.43,5.08
14,WT,12,141.27,4.19
15,WT,12.8,148.41,4.69
16,WT,12.7,179.42,5.63
1,YZ-26-1C,12.3,142.63,4.34
2,YZ-26-1C,12.4,149.74,4.59
3,YZ-26-1C,11.7,166.29,4.81
4,YZ-26-1C,12.8,155.1,4.91
5,YZ-26-1C,11.6,156.78,4.49
6,YZ-26-1C,12.5,139.84,4.32
7,YZ-26-1C,12.1,153.76,4.6
8,YZ-26-1C,12.5,159.57,4.93
9,YZ-26-1C,11.3,165.48,4.62
10,YZ-26-1C,12.4,140.83,4.32
11,YZ-26-1C,11.6,140.51,4.03
12,YZ-26-1C,12.4,184.72,5.66
13,YZ-26-1C,11.7,161.19,4.66
14,YZ-26-1C,12.1,168.14,5.03
15,YZ-26-1C,11.1,173.55,4.76
16,YZ-26-1C,11.6,145.11,4.16
1,YZ-19-21,14.1,130.65,4.55
2,YZ-19-21,14.3,147.05,5.2
3,YZ-19-21,14.7,125.43,4.56
4,YZ-19-21,14.6,134.46,4.85
5,YZ-19-21,14,140.72,4.87
6,YZ-19-21,14.8,152.27,5.57
7,YZ-19-21,13.5,144.84,4.83
8,YZ-19-21,14.4,127.27,4.53
9,YZ-19-21,13.5,142.25,4.75
10,YZ-19-21,13.7,160.46,5.43
11,YZ-19-21,12.7,159.08,4.99
12,YZ-19-21,13.6,134.83,4.53
13,YZ-19-21,13.1,145.05,4.7
14,YZ-19-21,13,153.71,4.94
15,YZ-19-21,14.2,140.15,4.92
16,YZ-19-21,13.2,155.19,5.06
1,ND-18-34A,12.6,168.25,5.24
2,ND-18-34A,12,149.1,4.42
3,ND-18-34A,12.3,143.18,4.35
4,ND-18-34A,12.9,172.25,5.49
5,ND-18-34A,11.6,164.95,4.73
6,ND-18-34A,13.4,138.54,4.59
7,ND-18-34A,12.1,134.16,4.01
8,ND-18-34A,12.8,169.38,5.36
9,ND-18-34A,11.9,161.09,4.74
10,ND-18-34A,12.3,155.39,4.72
11,ND-18-34A,12.8,137.01,4.33
12,ND-18-34A,12,151.22,4.48
13,ND-18-34A,11.9,140.35,4.13
14,ND-18-34A,12,183.25,5.43
15,ND-18-34A,11.6,134.86,3.87
16,ND-18-34A,11.9,147.76,4.34
